,,,,,,
Walmart Receiving DCs for Store Numbers 1258-4869,,,,,,
Store #,Address Line 1,Address Line 2,City,State,Zip Code,Phone Number
6019,Walmart DC 6019d-DSDC,7500 E Crossroads Blvd,Loveland,CO,80538-8958,970-667-3122
6019,Walmart Warehouse 6019,7500 E Crossroads Blvd,Loveland,CO,80538-8958,970-667-3122
6019,Walmart DC 6019p-PAD,7500 E Crossroads Blvd,Loveland,CO,80538-8958,970-667-3122
6019,Walmart DC 6019w-WPM,7500 E Crossroads Blvd,Loveland,CO,80538-8958,970-667-3122
6019,Walmart DC 6019i-IMP ASM,7500 E Crossroads Blvd,Loveland,CO,80538-8958,970-667-3122
6019,Walmart DC 6019a-ASM Dis,7500 E Crossroads Blvd,Loveland,CO,80538-8958,970-667-3122
6020,Walmart Warehouse 6020,4224 Kettering Rd,Brooksville,FL,34602,352-596-5555
6020,Walmart DC 6020g-general,4224 Kettering Rd,Brooksville,FL,34602,352-596-5555
6020,Walmart DC 6020t-TAB,4224 Kettering Rd,Brooksville,FL,34602,352-596-5555
6020,Walmart DC 6020d-DSDC,4224 Kettering Rd,Brooksville,FL,34602,352-596-5555
6020,Walmart Warehouse 6020,4224 Kettering Rd,Brooksville,FL,34602,352-596-5555
6020,Walmart DC 6020p-PAD,4224 Kettering Rd,Brooksville,FL,34602,352-596-5555
6020,Walmart DC 6020w-WPM,4224 Kettering Rd,Brooksville,FL,34602,352-596-5555
6020,Walmart DC 6020i-IMP ASM,4224 Kettering Rd,Brooksville,FL,34602,352-596-5555
6020,Walmart DC 6020a-ASM Dis,4224 Kettering Rd,Brooksville,FL,34602,352-596-5555
6021,Walmart DC 6021r-regular,1005 S H St,Porterville,CA,93257,209-782-7426
6021,Walmart DC 6021g-general,1005 S H St,Porterville,CA,93257,209-782-7426
6021,Walmart DC 6021t-TAB,1005 S H St,Porterville,CA,93257,209-782-7426
6021,Walmart DC 6021d-DSDC,1005 S H St,Porterville,CA,93257,209-782-7426
6021,Walmart DC 6021j-jit,1005 S H St,Porterville,CA,93257,209-782-7426
6021,Walmart DC 6021p-PAD,1005 S H St,Porterville,CA,93257,209-782-7426
6021,Walmart DC 6021w-WPM,1005 S H St,Porterville,CA,93257,209-782-7426
6021,Walmart DC 6021i-IMP ASM,1005 S H St,Porterville,CA,93257,209-782-7426
6021,Walmart DC 6021a-ASM Dis,1005 S H St,Porterville,CA,93257,209-782-7426
6022,Walmart DC 6022r-regular,1528 E St Road 240,GreenCAstle,IN,46135-7573,317-653-4111
6022,Greencastle In Fashion 6022,1528 E St Road 240,Greencastle,IN,46135-7573,317-653-4111
6022,Walmart DC 6022j-jit,1528 E St Road 240,Greencastle,IN,46135-7573,317-653-4111
6022,Greencastle In Fashion 6022,1528 E St Road 240,Greencastle,IN,46135-7573,317-653-4111
6023,Walmart Warehouse 6023,21500 Cox Rd,Sutherland,VA,23885-9464,804-469-3755
6023,Walmart DC 6023g-general,21500 Cox Rd,Sutherland,VA,23885-9464,804-469-3755
6023,Walmart DC 6023t-TAB,21500 Cox Rd,Sutherland,VA,23885-9464,804-469-3755
6023,Walmart DC 6023d-DSDC,21500 Cox Rd,Sutherland,VA,23885-9464,804-469-3755
6023,Walmart Warehouse 6023,21500 Cox Rd,Sutherland,VA,23885-9464,804-469-3755
6023,Walmart DC 6023p-PAD,21500 Cox Rd,Sutherland,VA,23885-9464,804-469-3755
6023,Walmart DC 6023w-WPM,21500 Cox Rd,Sutherland,VA,23885-9464,804-469-3755
6023,Walmart DC 6023i-IMP ASM,21500 Cox Rd,Sutherland,VA,23885-9464,804-469-3755
6023,Walmart DC 6023a-ASM Dis,21500 Cox Rd,Sutherland,VA,23885-9464,804-469-3755
